"","x"
"1",1.03475463003565
"2",1.03475463003565
"3",1.03475463003565
"4",1.03475463003565
"5",1.03475463003565
"6",1.03475463003565
"7",1.03475463003565
"8",1.03475463003565
"9",1.03474710145653
"10",1.03474710145653
"11",1.03475676871036
"12",1.03475676871036
"13",1.03474511026987
"14",1.03474472498892
"15",1.03474472498892
"16",1.03472974649098
"17",1.0347134962033
"18",1.0347134962033
"19",1.03471269058876
"20",1.03469246654596
"21",1.03469246654596
"22",1.03469246654596
"23",1.03466941550984
"24",1.03464541934174
"25",1.03464541934174
"26",1.03464541934174
"27",1.03461742444818
"28",1.03461742444818
"29",1.03458736469577
"30",1.03455593620773
"31",1.03455593620773
"32",1.03455593620773
"33",1.03455593620773
"34",1.03455593620773
"35",1.03448173811564
"36",1.03448173811564
"37",1.03448173811564
"38",1.03443787719955
"39",1.03443787719955
"40",1.03439431313004
"41",1.03430625232768
"42",1.03430625232768
"43",1.03430625232768
"44",1.03430625232768
"45",1.03430625232768
"46",1.03420092073804
"47",1.03414911601636
"48",1.03413858751577
"49",1.03413858751577
"50",1.03408348928185
"51",1.03407722490718
"52",1.03401874956198
"53",1.03400523459396
"54",1.03400523459396
"55",1.03400523459396
"56",1.03399772329955
"57",1.03399772329955
"58",1.03404752708469
"59",1.03418819224913
"60",1.03429947558084
"61",1.03435084177631
"62",1.03440323977666
"63",1.03445631707441
"64",1.03423548345817
"65",1.03427941694557
"66",1.03431264375741
"67",1.03431264375741
"68",1.03407506243392
"69",1.03398309407
"70",1.03390169541905
"71",1.03373549360617
"72",1.03372282639348
"73",1.03353833881508
"74",1.0336592467725
"75",1.0336592467725
"76",1.03378445972507
"77",1.03383273392042
"78",1.03371519174685
"79",1.03366892901935
"80",1.03366892901935
"81",1.03362048955782
"82",1.03350603870759
"83",1.03337183433442
"84",1.03326969359142
"85",1.03355536786527
"86",1.03355003954456
"87",1.03351304360841
"88",1.03347492983817
"89",1.03352507053681
"90",1.0333047709501
"91",1.0333047709501
"92",1.03344748007302
"93",1.03359081411937
"94",1.03343141086962
"95",1.03340919432721
"96",1.03338620179126
"97",1.03355786451844
"98",1.03375689781305
"99",1.03380758071033
"100",1.03365826905618
"101",1.03381164325191
"102",101
