"","x"
"1",0.918484539657025
"2",0.952165722378555
"3",0.956973534311789
"4",0.993890582455795
"5",0.946814927350661
"6",0.982678088187963
"7",0.968857697381111
"8",0.998344956157495
"9",0.989363831248336
"10",0.987846107086874
"11",1.01074953295255
"12",0.997022938306291
"13",1.00842090173552
"14",1.02738243742055
"15",1.00700113283598
"16",1.03135938026266
"17",1.0763671273155
"18",0.99626883630143
"19",1.08013453487593
"20",1.04493614494014
"21",1.06490095298378
"22",1.03207437377933
"23",1.08798660326091
"24",1.11838379304495
"25",1.16777456934173
"26",1.15524138337855
"27",1.10995258161978
"28",1.1081986734337
"29",1.09278243566548
"30",1.10398228034474
"31",1.05700301942457
"32",1.12971363511953
"33",1.15540404591951
"34",1.16047678614404
"35",1.14519822508443
"36",1.15470433062593
"37",1.18620744084008
"38",1.09053232466762
"39",1.15647792092982
"40",1.04688537181592
"41",1.1062370305924
"42",1.15294105940132
"43",1.15807992195142
"44",1.14250319535231
"45",1.09235064391812
"46",1.14911945550456
"47",1.15854304499411
"48",1.11803590997221
"49",1.12888273628912
"50",1.14433091906
"51",1.13109194399228
"52",1.10164936471447
"53",1.12083871771107
"54",1.12061536959837
"55",1.14628526575436
"56",1.13510849197219
"57",1.08815624975142
"58",1.08096101139925
"59",1.13479616761093
"60",1.10525200160912
"61",1.11312192714343
"62",1.03487362221287
"63",1.13437409853049
"64",1.13266511431409
"65",1.15784002602786
"66",1.17447875015033
"67",1.09390314951811
"68",1.10048521987807
"69",1.08008520063325
"70",1.09351352066162
"71",1.06926868122679
"72",1.00599292128009
"73",1.07077131526892
"74",1.06367230386352
"75",1.08549829486909
"76",1.08990859910767
"77",1.17671968185942
"78",1.07908613337079
"79",1.15413944762129
"80",1.15520735740056
"81",1.08702263487531
"82",1.04358426145942
"83",1.10795896637672
"84",1.050525672596
"85",1.12293377945488
"86",1.07027474098062
"87",1.08820755288561
"88",1.02775857285165
"89",1.03747167991814
"90",1.00403503939894
"91",1.11527584341751
"92",1.09451662700504
"93",1.09028636510308
"94",1.02842286790394
"95",1.06914715476621
"96",1.06497949129244
"97",1.02131483525449
"98",1.03194098528866
"99",1.02683306881581
"100",1.14257676457322
