"","x"
"1",0.962807253553036
"2",0.848875560841853
"3",0.826123549880332
"4",0.874405348072739
"5",0.823766118031602
"6",0.853136877737919
"7",0.753181371479352
"8",0.830160102153502
"9",0.875271620878528
"10",0.826155668082968
"11",0.804968402713254
"12",0.83373031217266
"13",0.915211345285661
"14",0.823277234669252
"15",0.838958312052176
"16",0.831936896258498
"17",0.823920944935735
"18",0.807162524111163
"19",0.799878401385452
"20",0.831222347885324
"21",0.765865206151877
"22",0.761652119472997
"23",0.812087148898631
"24",0.850157681775546
"25",0.93078831512594
"26",0.715152138931901
"27",0.8005044921554
"28",0.773585941208026
"29",0.858303845002201
"30",0.790892176411979
"31",0.829393958831329
"32",0.875380323009468
"33",0.789486071184289
"34",0.839244702280794
"35",0.77989618117606
"36",0.77170894597363
"37",0.855257654643959
"38",0.815750424536688
"39",0.845654613928629
"40",0.774618811902834
"41",0.806813708488053
"42",0.695112696801202
"43",0.861056456657148
"44",0.778928086535912
"45",0.799602512312926
"46",0.903725809499725
"47",0.800378959031214
"48",0.834238186084974
"49",0.810951751021492
"50",0.874224351769225
"51",0.82183354559238
"52",0.839005055322654
"53",0.941223399722824
"54",0.841025361821654
"55",0.840342182198613
"56",0.828637198071572
"57",0.759434427931694
"58",0.862164126010849
"59",0.960256038591062
"60",0.899406426446093
"61",0.896425888732896
"62",0.83407728250829
"63",0.860991329388812
"64",0.836061459957407
"65",0.788761538841078
"66",0.848405014913312
"67",0.892021867491682
"68",0.857200407866416
"69",0.897146306747596
"70",0.933161837432487
"71",0.930695816878805
"72",0.918436224187986
"73",0.939378374150526
"74",0.917323096783832
"75",0.838140412598119
"76",0.927776765796301
"77",0.993827816887694
"78",0.938201959599564
"79",0.909171122903663
"80",0.842495931823404
"81",0.886397706711793
"82",0.958890253389261
"83",0.909225360074082
"84",0.976263318763968
"85",0.906763376518171
"86",1.01569093193497
"87",0.85074868016813
"88",0.878925644835338
"89",0.826080423914392
"90",0.867804722564635
"91",0.908756917551164
"92",1.01155313886993
"93",0.839829015981754
"94",0.882363676288848
"95",0.793228424004475
"96",0.790044787831765
"97",0.962315887990829
"98",0.915509384605167
"99",0.920444035336214
"100",0.987912408290011
