X,x
1,0.6267492343025508
2,0.617808211040214
3,0.6053366233050089
4,0.5800203513740145
5,0.5832795879880069
6,0.5663164003491789
7,0.5591697424353373
8,0.5541671172162101
9,0.5327770011981293
10,0.5273366697267113
11,0.5347295308341357
12,0.5055181969802518
13,0.5105421122654549
14,0.47884175692517866
15,0.4831413251089163
16,0.479454110067384
17,0.47098720894477
18,0.470925423012017
19,0.45386079681025915
20,0.4454296244274837
21,0.4407991278501267
22,0.4316713801290192
23,0.4371772509299954
24,0.43159298704519916
25,0.42365492390155407
26,0.4017073094293923
27,0.42100831045577713
28,0.41157776311385497
29,0.3969280617401457
30,0.39935039190690874
31,0.3900920029187377
32,0.38678020625310805
33,0.405882430112272
34,0.3938226087209126
35,0.379319434502689
36,0.3758524857097028
37,0.37949272228890857
38,0.37493854395921766
39,0.3638763330778768
40,0.36195063601522265
41,0.3675500003087769
42,0.3591020842357186
43,0.3651462300606867
44,0.3579569158925489
45,0.3700302964295789
46,0.36191775897885864
47,0.35283545684251416
48,0.3640571854710666
49,0.34696984725865093
50,0.3577186382739854
51,0.3529589913733726
52,0.3592740560428648
53,0.36109539732485185
54,0.3591071049670468
55,0.35430477187121534
56,0.36136100127838505
57,0.36890851699337573
58,0.35536686937183803
59,0.3721868057472409
60,0.3664743646747964
61,0.3663147087549357
62,0.3749890060334581
63,0.3714937147890622
64,0.37286304342619686
65,0.372768581486977
66,0.39014163113700095
67,0.3976739409120256
68,0.40230621388933796
69,0.3886254834095552
70,0.3940182427589868
71,0.39963559415101474
72,0.4073234640399194
73,0.4178238268404802
74,0.4196832083619645
75,0.4231786083427039
76,0.4164209058922853
77,0.42991528437459264
78,0.443835058996247
79,0.43236333859803067
80,0.43235173692060025
81,0.45409675756209794
82,0.4593516548365226
83,0.4559620091658992
84,0.48214151227131546
85,0.4855244157758371
86,0.5017384431096639
87,0.5093835578687224
88,0.5140119679379566
89,0.5241574894110966
90,0.5198113697115131
91,0.5240418785449695
92,0.5473841059998626
93,0.5584630980316775
94,0.567445118379655
95,0.5710848155489945
96,0.6038689873696274
97,0.6051096931708148
98,0.6208820149270834
99,0.6312838529321115
100,0.6390394538852866
