"","x"
"1",1.71726447587978
"2",1.42848608201829
"3",1.44827956435737
"4",1.42451583942846
"5",1.54205299206727
"6",1.45464554028652
"7",1.30498508392754
"8",1.36765876686192
"9",1.38600961198874
"10",1.40846977860791
"11",1.46176847740642
"12",1.43602868656966
"13",1.474269722472
"14",1.43987641699195
"15",1.4254829394213
"16",1.51324028347747
"17",1.44052969969104
"18",1.36820264585136
"19",1.50143974122689
"20",1.53264403089419
"21",1.456470356239
"22",1.59090319980304
"23",1.67805049852859
"24",1.54098312017451
"25",1.62447689380957
"26",1.57352954842371
"27",1.52606971030909
"28",1.53901980030965
"29",1.47918810106522
"30",1.64042050025861
"31",1.59235220934975
"32",1.63582068539747
"33",1.51962027879606
"34",1.67236376845383
"35",1.60129643155097
"36",1.75267939081022
"37",1.82108329207701
"38",1.68716405832724
"39",1.70970110038601
"40",1.59154950498895
"41",1.62131504814814
"42",1.55457500834668
"43",1.75016866725624
"44",1.60132210734972
"45",1.7080171777868
"46",1.58081478773151
"47",1.66068057128271
"48",1.58063210532289
"49",1.59926364957161
"50",1.54767441086407
"51",1.6180830052573
"52",1.59200824339406
"53",1.65246403405799
"54",1.72377004673022
"55",1.58339139690793
"56",1.49631435772478
"57",1.47990614548969
"58",1.73411631343574
"59",1.6217333027843
"60",1.50675005975193
"61",1.85103741471524
"62",1.53965713642593
"63",1.56275438437077
"64",1.5946295949627
"65",1.58175460695705
"66",1.51308393450987
"67",1.62945571391059
"68",1.80984754333348
"69",1.57959524998792
"70",1.5085744203814
"71",1.59513775932681
"72",1.81168736584342
"73",1.81156046143761
"74",1.74079453361609
"75",1.52261112518423
"76",1.57732839263065
"77",1.69262474977597
"78",1.72508446273223
"79",1.5246366342496
"80",1.63739292604803
"81",1.64805615918505
"82",1.56346119505732
"83",1.56171865660078
"84",1.80317976208026
"85",1.66258425551263
"86",1.77463944013639
"87",1.58030414516592
"88",1.57781732007864
"89",1.67959850455464
"90",1.6536373437539
"91",1.61975225432835
"92",1.80206658461084
"93",1.82462042615048
"94",1.77017143859269
"95",1.96906490808471
"96",1.75485696720075
"97",1.58419377132765
"98",1.54623062324268
"99",1.67805870760611
"100",1.71441344592183
